N100,N300,N1000,N3000,N10000
5,10,22,43,116
5,10,22,43,116
5,10,22,43,116
5,10,22,43,115
5,10,22,43,115
5,10,22,43,115
5,10,22,43,115
5,10,22,43,115
5,10,21,43,115
5,10,21,43,115
5,10,21,43,114
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,43,113
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,110
5,10,21,42,109
5,10,21,42,109
5,10,21,42,109
5,10,21,42,109
5,10,21,42,109
5,10,21,42,108
5,10,21,42,108
5,10,21,42,108
5,10,21,42,108
5,10,21,42,107
5,10,21,42,107
5,10,21,42,107
5,10,21,42,107
5,10,21,42,107
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,10,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,106
5,9,21,41,105
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,21,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,20,41,104
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,41,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,103
5,9,19,40,102
5,9,19,40,102
5,9,19,40,102
5,9,19,40,102
5,9,19,40,102
5,9,19,40,102
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,39,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,101
5,9,19,38,100
5,9,19,38,100
5,9,19,38,99
5,9,19,38,99
5,9,19,38,99
5,9,19,38,98
5,9,19,38,98
5,9,19,38,98
5,9,19,38,98
5,9,19,38,97
5,9,19,38,96
5,9,19,38,96
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,95
5,9,19,38,94
5,9,19,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,94
5,9,18,38,93
5,9,18,38,93
5,9,18,38,93
5,9,18,38,93
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,38,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,92
5,9,18,37,91
5,9,18,37,91
5,9,18,37,91
5,9,18,37,91
5,9,18,37,91
5,9,18,37,90
5,9,18,37,90
5,9,18,37,90
5,9,18,37,90
5,9,18,37,90
5,9,18,36,90
5,9,18,36,90
5,9,18,35,90
5,9,18,35,90
5,9,18,35,90
5,9,18,35,90
5,9,18,34,90
5,9,18,34,90
5,9,18,34,90
5,9,18,34,90
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,88
5,9,18,34,87
5,9,18,34,87
5,9,18,34,87
5,9,18,34,87
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,86
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,85
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,84
5,9,18,34,83
5,9,18,34,83
5,9,18,34,83
5,9,18,34,83
5,9,18,34,83
5,9,18,34,83
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,82
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,79
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,78
5,9,18,34,77
5,9,18,34,77
5,9,18,34,77
5,9,18,34,77
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,18,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,76
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,75
5,9,17,34,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,33,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
