t,m
591.0,0.1328
592.0,0.0956
593.0,0.0288
594.0,-0.0258
595.0,-0.0092
596.0,-0.0916
597.0,-0.1852
598.0,-0.186
599.0,-0.2072
600.0,-0.116
601.0,-0.0818
602.0,-0.1144
603.0,-0.1242
604.0,-0.2212
605.0,-0.2378
606.0,-0.2234
607.0,-0.2154
608.0,-0.1104
609.0,-0.0148
610.0,-0.1046
611.0,0.0508
612.0,0.05
613.0,-0.044
614.0,-0.047
615.0,-0.1028
616.0,-0.1106
617.0,-0.0546
618.0,-0.031
619.0,-0.0006
620.0,-0.046
621.0,0.0214
622.0,0.1368
623.0,0.0412
624.0,0.012
625.0,0.015
626.0,-0.0532
627.0,-0.0318
628.0,0.072
629.0,0.1796
630.0,0.1636
631.0,0.1734
632.0,0.2776
633.0,0.2404
634.0,0.1968
635.0,0.188
636.0,0.2278
637.0,0.1638
638.0,0.0634
639.0,-0.023
640.0,0.0252
641.0,0.1114
642.0,0.1972
643.0,0.082
644.0,0.0836
645.0,0.1058
646.0,0.11
647.0,0.0534
648.0,0.0332
649.0,0.1316
650.0,0.2016
651.0,0.1276
652.0,0.043
653.0,-0.1298
654.0,-0.084
655.0,-0.11
656.0,-0.11
657.0,-0.1268
658.0,0.0908
659.0,0.0734
660.0,-0.0408
661.0,-0.0218
662.0,-0.0106
663.0,0.0268
664.0,-0.0082
665.0,0.017
666.0,-0.0292
667.0,0.1142
668.0,0.088
669.0,-0.0864
670.0,-0.0634
671.0,-0.126
672.0,-0.1542
673.0,-0.125
674.0,-0.1522
675.0,-0.1264
676.0,-0.0538
677.0,-0.1536
678.0,-0.0916
679.0,-0.1104
680.0,-0.1426
681.0,-0.1466
682.0,-0.1256
683.0,-0.1794
684.0,-0.1908
685.0,-0.0578
686.0,-0.0124
687.0,-0.0014
688.0,0.043
689.0,-0.0004
690.0,-0.0404
691.0,-0.1678
692.0,-0.055
693.0,-0.0906
694.0,-0.0516
695.0,-0.1062
696.0,-0.018
697.0,0.0966
698.0,0.0298
699.0,-0.0308
700.0,-0.0646
701.0,-0.117
702.0,-0.0876
703.0,-0.0738
704.0,-0.0664
705.0,-0.0676
706.0,-0.0408
707.0,0.088
708.0,0.0958
709.0,-0.0556
710.0,-0.01
711.0,0.115
712.0,0.0972
713.0,0.0722
714.0,0.033
715.0,0.11
716.0,0.0254
717.0,-0.0014
718.0,0.0864
719.0,0.2556
720.0,0.174
721.0,0.0456
722.0,0.0496
723.0,0.0788
724.0,-0.0236
725.0,-0.0478
726.0,-0.0146
727.0,-0.053
728.0,-0.0462
729.0,-0.0488
730.0,-0.108
731.0,-0.0086
732.0,-0.1484
733.0,-0.1572
734.0,-0.1648
735.0,-0.1884
736.0,-0.2304
737.0,-0.0942
738.0,-0.2338
739.0,-0.298
740.0,-0.3534
741.0,-0.3054
742.0,-0.1394
743.0,-0.1502
744.0,-0.1436
745.0,-0.1002
746.0,-0.06
747.0,-0.0414
748.0,0.0762
749.0,-0.0062
750.0,0.0028
751.0,0.085
752.0,0.1008
