z1,z12,z15,z2,z4
42,72,89,125,263
42,72,89,125,263
42,72,89,125,263
42,72,89,124,263
42,72,89,124,263
42,72,89,124,262
41,72,89,123,262
41,71,89,123,261
41,71,89,123,261
41,71,88,123,261
41,71,87,123,261
41,71,87,123,260
41,71,87,122,260
41,71,87,122,260
41,71,86,122,260
41,70,86,121,260
41,70,86,121,259
41,69,86,121,258
41,69,86,121,258
40,69,86,121,257
40,69,86,121,257
39,69,86,121,257
39,69,85,121,257
39,69,85,121,257
39,69,85,120,257
39,69,85,120,256
39,69,85,120,256
39,69,84,119,256
38,69,84,119,255
38,69,84,119,255
38,69,84,119,254
38,69,84,119,254
38,69,84,119,254
38,68,84,119,253
38,68,83,119,253
38,68,83,119,253
38,68,83,119,253
38,68,83,118,252
38,68,83,118,252
38,68,83,118,252
38,68,83,118,251
38,68,83,118,251
38,68,83,118,251
38,68,83,118,250
38,68,83,118,250
38,67,83,118,250
38,67,83,118,249
38,67,83,118,248
38,67,83,118,248
38,67,81,118,248
38,67,81,118,248
38,67,79,118,248
38,67,79,117,248
38,67,79,117,248
38,67,78,117,248
37,67,78,117,248
36,67,78,117,248
36,67,78,117,248
36,67,78,116,248
36,67,77,116,248
36,67,77,116,248
36,67,77,116,246
36,67,77,116,246
36,67,77,116,246
36,67,77,116,245
36,67,77,116,244
36,67,77,114,244
36,67,77,114,242
36,67,77,114,242
36,67,76,114,242
36,67,76,114,242
36,67,76,114,241
36,67,76,114,241
36,67,76,114,241
35,67,76,114,241
35,67,76,114,241
35,66,76,114,241
35,66,76,114,241
35,66,76,112,241
35,65,76,112,239
35,65,76,112,239
35,64,76,111,239
35,64,76,111,238
35,63,76,111,237
35,63,76,110,235
35,63,76,110,234
35,63,76,110,232
35,63,76,110,232
35,63,76,110,232
35,62,76,110,232
34,62,75,110,232
34,62,75,110,232
34,62,75,110,232
34,62,75,110,232
34,62,75,109,232
34,62,75,109,232
34,62,75,109,232
34,62,75,109,232
34,62,75,109,232
34,62,75,109,232
34,62,75,109,231
34,62,74,109,231
34,62,74,109,231
34,62,74,109,230
34,62,74,109,230
34,62,74,109,229
34,62,74,108,229
34,62,74,108,229
34,62,74,108,229
34,62,74,108,229
34,62,74,108,228
34,62,74,108,228
34,62,74,108,227
34,62,74,107,227
34,61,74,107,226
34,61,73,107,226
34,61,73,107,226
34,61,73,107,225
34,61,73,107,225
33,61,73,107,225
33,61,73,107,225
33,61,73,107,225
33,61,73,107,225
33,60,73,107,225
33,60,73,107,225
33,60,73,107,225
33,60,73,107,225
33,60,73,107,225
33,59,73,107,225
33,59,72,107,225
33,59,72,107,225
33,59,72,107,225
33,59,72,107,224
33,59,72,107,224
33,57,72,107,224
33,57,72,107,222
33,57,72,107,222
33,57,72,106,222
33,57,72,106,222
33,57,72,105,221
33,57,72,105,221
33,57,72,105,221
33,57,71,105,220
33,57,71,105,220
33,56,71,105,220
33,56,71,105,220
33,56,71,105,220
33,56,71,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,105,220
33,56,70,104,220
33,56,69,104,220
33,56,69,104,220
33,56,69,104,220
33,56,69,104,220
33,56,69,104,220
33,56,69,104,220
33,56,69,104,220
32,56,69,104,220
32,56,68,104,220
32,56,68,103,220
32,56,68,103,220
32,56,68,103,219
32,56,68,102,219
32,56,68,102,218
32,56,68,102,218
32,56,68,102,218
32,56,68,102,218
32,56,68,101,217
32,56,68,101,217
32,56,68,101,217
32,56,68,100,217
32,56,68,100,217
32,56,68,100,215
32,56,68,100,214
32,56,68,99,214
32,56,68,99,214
32,56,68,99,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,214
32,55,68,98,213
32,55,68,97,213
32,54,68,97,213
31,54,68,97,213
31,54,67,97,213
31,54,67,97,213
30,54,67,97,213
30,54,67,97,213
30,53,67,96,213
30,52,67,96,213
30,52,67,96,213
30,52,67,96,213
29,52,67,96,213
29,52,67,96,212
29,52,67,96,211
29,52,67,95,211
29,52,67,95,211
29,51,67,95,211
