t,m
460.0,-0.0054
461.0,-0.0098
462.0,-0.0036
463.0,0.0162
464.0,0.0224
465.0,0.0308
466.0,0.0174
467.0,0.0066
468.0,0.014
469.0,0.011
470.0,0.0096
471.0,0.0118
472.0,-0.0008
473.0,-0.0018
474.0,0.0076
475.0,0.0276
476.0,0.0328
477.0,0.0266
478.0,0.015
479.0,0.019
480.0,0.0176
481.0,0.0104
482.0,0.0054
483.0,0.001
484.0,0.0048
485.0,0.007
486.0,-0.0064
487.0,-0.006
488.0,-0.0056
489.0,0.0076
490.0,-0.0086
491.0,-0.0176
492.0,-0.008
493.0,-0.017
494.0,0.006
495.0,-0.0052
496.0,-0.0006
497.0,-0.014
498.0,0.0006
499.0,0.015
500.0,0.013
501.0,0.0286
502.0,0.029
503.0,0.0282
504.0,0.0326
505.0,0.0296
506.0,0.0248
507.0,0.0436
508.0,0.0462
509.0,0.0392
510.0,0.0374
511.0,0.0378
512.0,0.0368
513.0,0.036
514.0,0.0182
515.0,0.014
516.0,0.0008
517.0,-0.0142
518.0,-0.0318
519.0,-0.0234
520.0,-0.0112
521.0,-0.0058
522.0,-0.01
523.0,0.0048
524.0,0.0068
525.0,-0.0048
526.0,-0.0076
527.0,-0.0188
528.0,-0.019
529.0,0.0072
530.0,-0.0012
531.0,0.0114
532.0,0.0216
533.0,0.0064
534.0,-0.0098
535.0,-0.005
536.0,-0.0074
537.0,-0.0032
538.0,-0.0108
539.0,-0.008
540.0,-0.0218
541.0,-0.0244
542.0,-0.035
543.0,-0.0408
544.0,-0.0474
545.0,-0.048
546.0,-0.0444
547.0,-0.0456
548.0,-0.0366
549.0,-0.011
550.0,-0.0174
551.0,-0.0138
552.0,-0.0132
553.0,-0.02
554.0,-0.0286
555.0,-0.0042
556.0,-0.0006
557.0,-0.0062
558.0,-0.0042
559.0,0.0072
560.0,0.0022
561.0,-0.012
562.0,0.0078
563.0,0.01
564.0,0.0268
565.0,0.0282
566.0,0.0104
567.0,0.0044
568.0,0.0038
569.0,0.0214
570.0,0.0208
